name,occupation,location,coryat_score,place,air_date
Brad Paisley,musician,the album Mud on the Tires,8600,2,2003-04-30
Martha Stewart,host,Martha Stewart Living,4300,1,2001-02-06
Dave Foley,comedian,NewsRadio,4300,3,1999-03-29
Benjamin Bratt,actor,Law & Order,4300,2,1997-05-01
Regis Philbin,host,Live with Regis and Kathie Lee,4300,2,1992-10-26
Rebecca Lobo,athlete,the WNBA,8400,2,2010-04-15
Hon. Margaret Spellings,politician/military,"Washington, D.C.",8400,2,2006-11-21
Miguel Ferrer,actor,Crossing Jordan,8400,1,2006-11-15
Summer Sanders,athlete,Figure It Out,4200,2,1998-06-05
Buzz Aldrin,politician/military,the book Encounter with Tiber,4200,2,1996-11-14
Stephen King,writer/director,"Bangor, Maine",4200,1,1995-11-06
Marilu Henner,host,Marilu,4200,3,1994-11-09
Will Estes,actor,American Dreams,8200,1,2003-04-30
Jeff Probst,host,Rock & Roll Jeopardy! and Survivor,4100,2,2001-02-06
Kelsey Grammer,comedian,Frasier,4100,1,1993-11-10
Debra Messing,actor,Will & Grace and The Mysteries of Laura,8000,2,2015-05-11
Cheech Marin,comedian,Lost,8000,1,2010-05-07
Sam Waterston,actor,Law & Order,8000,2,2006-11-10
Nancy Grace,host,Headline News/Court TV,8000,3,2006-11-08
S. Epatha Merkerson,actor,Law & Order,4000,3,1999-11-16
Robin Roberts,reporter,ESPN,4000,3,1999-03-22
Bill Maher,host,Politically Incorrect,4000,3,1995-11-09
Alan Rachins,actor,L.A. Law,4000,3,1992-10-28
Isaac Mizrahi,host,the QVC Network,7800,2,2010-04-16
Joely Fisher,actor,'Til Death,7800,2,2006-11-17
Mario Cantone,comedian,Sex and the City,7800,1,2006-11-17
Jeff Foxworthy,comedian,The Jeff Foxworthy Show,3900,1,1995-11-10
Noah Wyle,actor,ER,3800,3,1999-11-15
Melody Thomas Scott,actor,the top-rated series The Young and the Restless,3800,2,1995-11-07
Tom Bergeron,host,Dancing with the Stars,7400,3,2009-03-10
Wendie Malick,actor,Just Shoot Me!,3700,2,1999-05-20
Chris Matthews,host,Hardball and The Chris Matthews Show,7200,2,2010-02-18
Michael Boatman,actor,Spin City,3600,2,1999-11-17
Emma Samms,actor,Dynasty and General Hospital,3600,2,1992-10-27
Paige Davis,host,Trading Spaces,7000,3,2003-04-28
Sharon Lawrence,actor,Fired Up,3500,2,1997-04-29
Lynn Redgrave,actor,"London, England",3500,3,1995-11-06
Tim Matheson,actor,For the Love of My Daughter,3500,3,1994-11-11
Elayne Boosler,comedian,the galaxy of comedy,3500,2,1993-11-08
Hill Harper,actor,CSI: NY,6800,3,2006-11-21
Keith Olbermann,reporter,Fox Sports News,3400,2,1999-03-22
Chris Hardwick,comedian,Singled Out,3400,1,1997-04-29
Isaac Mizrahi,host,the Style Network,6400,3,2006-11-14
Donna D'Errico,model,Baywatch,3200,3,1997-05-02
Judith Ivey,actor,Designing Women,3200,2,1992-10-29
Catherine Bell,actor,JAG,3100,3,1999-05-18
Holly Robinson Peete,actor,For Your Love,3100,3,1999-05-18
Alyssa Milano,actor,Charmed,3100,2,1999-05-17
Regis Philbin,host,Live with Regis and Kathie Lee,3100,3,1998-04-30
Melissa Joan Hart,actor,"Sabrina, the Teenage Witch",3100,2,1998-04-28
Michael Sabatino,actor,The Bold and the Beautiful,3100,2,1994-11-10
Kathryn Erbe,actor,Law & Order: Criminal Intent,6000,3,2006-11-10
Greg Germann,actor,Ally McBeal,3000,3,1999-04-05
Dot Richardson,athlete,"Orlando, Florida",3000,3,1998-06-05
Yasmine Bleeth,model,Baywatch,2900,3,1995-11-10
Cynthia Rowley,host,Project Runway and Design Star,5600,2,2015-05-15
Kari Wuhrer,actor,Sliders,2600,3,1999-05-17
Soledad O'Brien,reporter,CNN's Special Investigations Unit,5000,3,2009-10-15
Meredith Vieira,host,The View,2500,2,1999-11-18
Al Michaels,reporter,ABC's Monday Night Football,2500,3,1998-01-23
Tabitha Soren,reporter,MTV,2500,3,1993-11-11
Pat Sajak,host,Wheel of Fortune,4800,3,2010-05-03
Doug Savant,actor,Desperate Housewives,4800,2,2010-01-21
Dana Delany,actor,Desperate Housewives,4800,2,2009-09-17
Jerry Orbach,actor,Law & Order,2400,2,1998-05-01
Beverly Sills,musician,the Lincoln Center for the Performing Arts,2400,3,1996-11-11
Thomas Haden Church,actor,Wings and Ned and Stacey,2400,2,1995-11-10
Shawn Colvin,musician,"Carbondale, Illinois",2300,3,1999-11-17
Jay Thomas,actor,Love and War,2300,2,1993-11-11
Ginger Zee,reporter,ABC News and Good Morning America,4400,2,2015-05-14
Wendi McLendon-Covey,actor,The Goldbergs and Repeat After Me,4400,3,2015-05-13
Robin Quivers,host,The Howard Stern Show,4200,2,2009-11-19
Jeri Ryan,actor,Star Trek: Voyager,2100,3,1998-04-29
Melissa Gilbert,actor,the movie Harvest of Lies,2100,3,1996-11-12
Robert Guillaume,actor,Benson,2100,2,1992-10-30
Donna Mills,actor,Knots Landing,2100,3,1992-10-26
Drew Lachey,musician,Dancing with the Stars,4000,3,2006-11-16
Rob Schneider,actor,Men Behaving Badly,2000,3,1997-04-28
Sinbad,comedian,The Sinbad Show,2000,2,1993-11-12
Rosie O'Donnell,comedian,the hit film A League of Their Own,2000,1,1992-10-30
Josh Gad,comedian,"The Book of Mormon, Frozen, The Comedians, and Pixels",3800,3,2015-05-14
Curt Schilling,athlete,the Boston Red Sox,3800,3,2006-11-09
CCH Pounder,actor,The Shield,3800,3,2003-05-02
Star Jones,host,The View,1900,3,1999-04-12
Steven Page,musician,Barenaked Ladies,1800,3,2001-02-09
Charles Barkley,athlete,Turner Network Television,1800,3,2001-02-06
Renee Taylor,actor,The Nanny,1800,3,1996-11-15
Dan Jansen,athlete,the 1994 Olympics,1800,3,1995-11-07
Beau Bridges,actor,Without Warning: The James Brady Story,1800,3,1992-10-29
Andrew Shue,actor,television's hot new series Melrose Place,1400,3,1992-10-27
Garry Marshall,actor,"Bronx, New York",1300,2,1999-05-21
Rosie O'Donnell,comedian,The Rosie O'Donnell Show,1100,3,1999-11-15
Hill Harper,actor,CSI: NY,2000,3,2010-04-15
Reggie White,athlete,the Green Bay Packers,1000,2,1997-05-02
Matthew Fox,actor,Party of Five,1000,3,1996-11-13
Paula Poundstone,comedian,The Paula Poundstone Show,1000,3,1993-11-10
Jeff Probst,host,Survivor,1800,2,2003-05-02
Andrea McArdle,musician,the Broadway musical Beauty and the Beast,900,3,1999-11-19
Camryn Manheim,actor,The Practice,800,3,1999-05-19
Paul Shaffer,musician,The Late Show with David Letterman,1400,2,2006-11-20
Steve Schirripa,actor,The Sopranos,1400,3,2006-11-15
CCH Pounder,actor,Avatar and Brothers,1200,3,2010-04-16
Stefanie Powers,actor,Hart to Hart,600,3,1994-11-07
Alexandra Paul,actor,Baywatch,500,3,1994-11-08
Naomi Judd,musician,The Judds,300,3,1998-03-02
Susan Lucci,actor,All My Children,400,3,2006-11-20
Reggie Jackson,athlete,"Wyncote, Pennsylvania",100,3,1998-11-06
Sandy Duncan,musician,the Broadway musical Chicago,0,3,1999-11-19
Jane Seymour,actor,"Dr. Quinn, Medicine Woman",-200,3,1999-05-21
Shawntel Smith,model,"Muldrow, Oklahoma",-500,3,1995-11-08
Kirsten Dunst,actor,Jumanji,-700,3,1997-04-30
Martin Short,comedian,Fame Becomes Me,-1600,3,2006-11-17
Ed Begley Jr.,actor,St. Elsewhere,-1100,3,1992-10-30
Kevin O'Leary,host,Shark Tank,-2800,3,2015-05-12
Vivica A. Fox,actor,Boat Trip,-3200,2,2003-04-29
Steve Harris,actor,The Practice,-1900,3,1999-05-20
Wolf Blitzer,reporter,The Situation Room,-4600,3,2009-09-17
Eartha Kitt,musician,New York City,-2500,3,1996-11-14
