"Animal","Caption","Age","Gender","Ethnicity","Schooling","RecaptchaScore","Duration","Socials","Survey_01","Survey_02","Survey_03","Survey_04","Survey_05","Survey_06","Survey_07","Survey_08","Survey_09","Survey_10","Survey_11","Survey_12","One_word_comment"
"loris","no context",69,2,1,4,1,308,"1,2",1,4,3,2,1,1,2,4,1,5,5,4,"Cute"
"gorilla","no context",25,2,1,4,1,785,"1,2,3,5",4,5,5,5,5,5,5,5,4,4,4,5,"cute pet"
"gorilla","informative",35,1,1,5,1,606,"1,2,3",5,5,5,4,4,4,5,4,4,5,5,5,"Enjoy in park"
"loris","informative",22,1,1,4,1,403,"2,3,5",1,3,4,3,1,5,3,5,2,5,3,3,"Conservation"
"loris","no context",25,2,1,5,1,363,"1,2,3,5",5,4,4,4,4,5,5,4,4,5,4,4,"goods"
"loris","informative",25,1,2,5,1,620,"1,2,3,4,5,6",5,5,5,5,5,5,5,5,5,5,5,5,"NICE"
"loris","informative",59,2,1,4,1,2036,"1,2,3",4,2,4,4,3,4,4,4,4,4,3,3,"LEMUR"
"loris","informative",29,1,4,4,1,491,"1,2,5",4,4,4,5,4,4,5,5,4,4,5,4,"primatologist"
"gorilla","informative",25,2,1,4,1,1715,"1,2,3,4,5",4,4,3,4,4,4,4,4,4,4,4,4,"this post is rare to see"
"loris","informative",32,2,1,4,1,154,"1,2,3,4,5",5,5,5,5,5,5,5,5,5,5,5,5,"nice"
"loris","no context",25,1,1,4,1,314,"2",3,3,3,4,4,3,5,4,4,5,4,5,"its one of the different animal"
"loris","informative",62,1,1,5,1,370,"6",2,2,3,2,2,2,4,5,2,5,5,4,"Adorable"
"gorilla","informative",29,1,1,5,1,260,"2,3",5,5,5,5,5,4,5,5,5,5,5,5,"kingkong"
"loris","no context",26,1,1,5,1,1600,"1,2,3",4,5,5,5,5,4,5,5,5,5,5,5,"Good ones"
"gorilla","no context",30,2,1,4,1,527,"1,2,3",4,4,4,4,4,4,4,4,4,4,4,4,"good"
"loris","informative",33,1,1,4,1,414,"1,2,3,5",4,3,3,4,2,4,3,5,2,5,3,4,"Interesting"
"loris","informative",45,1,3,4,1,296,"1",5,4,4,4,4,4,4,5,4,4,4,4,"nice"
"loris","informative",45,1,5,4,1,417,"1,2,3",1,1,3,3,2,2,1,3,1,4,3,3,"hilarious eyes"
"gorilla","informative",38,2,1,4,1,250,"6",1,2,4,3,1,2,1,5,1,4,3,4,"Gorilla"
"gorilla","informative",50,2,1,4,1,654,"1,2,3,5",4,4,2,4,2,3,4,4,2,4,4,4,"gorilla sitting in the forest"
"gorilla","no context",34,1,1,4,1,488,"1,2,3",1,4,2,5,2,2,4,4,1,5,5,4,"GOOD"
"gorilla","no context",24,2,3,4,1,797,"2",5,5,2,4,4,4,4,5,4,4,4,5,"Mountain Gorila"
"gorilla","no context",24,2,3,4,1,212,"1,2,3,5",1,4,5,1,1,5,1,1,1,5,4,1,"Narcissist"
"loris","informative",30,1,1,4,1,449,"1,2,3,5",4,4,1,5,4,4,4,5,4,5,5,5,"Lemurs"
"gorilla","informative",60,1,1,4,1,328,"1,2,3,5",5,5,5,4,4,4,4,4,5,5,5,5,"the man see tha animal and the animal see tha man"
"loris","no context",30,2,1,4,1,1207,"1,2,3",5,4,5,4,4,5,4,5,5,4,5,5,"Rescued monkeys"
"loris","informative",27,2,2,4,1,490,"1,2,3,5",1,4,4,2,1,5,2,2,1,5,4,4,"safe"
"loris","informative",39,1,1,4,1,921,"1,2,3",4,4,4,5,3,4,4,4,3,4,4,4,"All animals were captured and handled safely and humanely for research with the proper permits and training"
"loris","informative",32,2,1,4,1,691,"1,2,3",2,4,3,3,2,2,3,4,2,5,2,3,"vulnerable"
"gorilla","informative",23,1,3,2,1,150,"1,2,3,5",1,1,4,1,1,2,1,4,1,4,1,1,"wildlife"
"gorilla","informative",30,1,4,4,1,144,"2",4,5,5,5,5,4,4,5,5,5,4,4,"very good"
"gorilla","no context",36,2,1,4,1,329,"1,2",2,5,4,3,4,3,2,5,5,4,4,4,"fear"
"gorilla","no context",53,1,1,4,1,432,"1,2",4,4,5,3,1,4,2,4,2,5,5,5,"Amazing"
"loris","informative",25,2,1,4,1,602,"1,2,3,5",4,5,4,4,4,4,5,4,4,5,3,5,"THIS ANIMAL IS LOOK GOOD"
"loris","informative",65,1,4,4,1,221,"1,2,3,4,5",3,3,3,4,3,3,3,3,3,4,4,4,"thrill"
"gorilla","informative",30,1,1,2,1,360,"1,2,3,4,5",5,5,4,4,5,4,4,4,3,4,4,5,"We Recognize Words as Pictures "
"gorilla","no context",34,1,1,4,1,501,"1,2,5",4,4,4,4,4,4,4,4,2,4,4,4,"gorilla"
"loris","informative",37,2,3,4,1,629,"1,2,3",3,5,4,5,4,4,4,5,4,4,4,4,"Monkey"
"loris","informative",37,2,3,4,1,629,"1,2,3",3,5,4,5,4,4,4,5,4,4,4,4,"Monkey"
"loris","no context",56,2,1,4,1,295,"1,2,5",4,4,3,4,2,4,4,4,2,5,4,4,"Monkey"
"loris","no context",56,2,1,4,1,295,"1,2,5",4,4,3,4,2,4,4,4,2,5,4,4,"Monkey"
"gorilla","informative",20,2,1,5,1,656,"1,2,3",4,5,2,4,4,4,4,4,4,5,5,5,"Let them live freely and never ruined therit living places"
"loris","no context",47,1,1,2,1,392,"1,3",1,2,3,3,1,4,2,4,1,5,3,4,"caretaking"
"gorilla","informative",61,2,1,4,1,312,"1,2,3",1,4,5,4,1,4,4,4,1,5,5,4,"wildlife"
"gorilla","no context",26,1,1,4,1,436,"1",4,4,4,4,4,4,4,4,4,4,4,4,"very nice research"
"loris","informative",30,1,1,4,1,266,"1,2,3,5",4,4,4,4,4,4,4,4,4,4,4,4,"Slow loris"
"gorilla","informative",30,1,1,5,1,174,"2",4,4,4,4,4,4,4,4,4,4,4,4,"good"
"gorilla","informative",30,1,1,5,1,174,"2",4,4,4,4,4,4,4,4,4,4,4,4,"good"
"gorilla","no context",39,2,1,4,1,217,"1,2,3,4",4,5,4,4,4,5,4,4,5,5,4,4,"Jessd"
"loris","no context",25,2,1,4,1,740,"2",4,4,2,4,2,4,4,1,4,4,4,5,"animal"
"loris","informative",32,2,1,1,1,301,"1,2,3,5",1,4,3,4,1,2,2,5,1,5,5,5,"Thankful "
"loris","informative",31,1,1,4,1,261,"1,2",1,2,2,5,4,1,4,4,4,5,5,4,"Cute"
"gorilla","informative",30,1,1,2,1,219,"1",4,4,2,5,5,4,4,5,4,4,5,5,"love"
"gorilla","informative",39,2,1,5,1,370,"2",4,4,4,4,4,4,5,4,4,4,4,4,"King Kong"
"loris","no context",47,2,1,5,1,501,"1,2,3",4,5,5,5,4,4,4,5,5,4,4,5,"its animal"
"gorilla","informative",38,2,1,5,1,1016,"1,2,3,4,5",4,4,3,4,3,4,4,4,4,5,4,5,"corilla"
"loris","no context",61,1,1,5,1,675,"1,2,3",1,2,3,1,1,2,1,4,1,4,1,1,"ugly"
"gorilla","no context",51,1,3,4,1,540,"1,2,3",4,4,3,4,4,4,4,4,4,4,4,4,"like so much for animal so me also see the natural or animals"
"loris","informative",30,2,1,4,1,1262,"1,2,3",4,4,4,4,4,4,4,4,5,4,4,4,"INTERACTION"
"gorilla","informative",24,1,1,4,1,666,"1",2,2,4,5,1,4,2,4,1,5,5,3,"Protection"
"loris","no context",26,2,1,5,1,245,"1,2,3,5",4,5,4,5,5,4,5,4,5,5,5,5,"Wildlife research"
"loris","no context",60,2,1,2,1,258,"1",1,1,4,4,2,1,2,4,1,5,4,3,"sad"
"loris","no context",25,1,1,5,1,447,"1,2,3,5",4,4,4,4,1,4,1,4,1,4,3,2,"Concerned"
"loris","informative",31,2,1,4,1,557,"1,2,3",5,5,5,5,5,5,5,3,5,5,5,5,"This world is not only for humans"
"loris","no context",26,1,1,4,1,393,"1,2,3",4,5,3,4,4,4,4,4,4,4,4,4,"Animals protected them"
"gorilla","informative",32,2,1,4,1,601,"2",1,2,4,1,2,2,2,2,1,4,2,1,"its amazing picture"
"loris","no context",32,1,1,5,1,163,"1,2,3,4,5",5,5,5,5,5,5,5,5,5,5,5,5,"SAVE WILDLIFE "
"loris","no context",28,1,3,4,1,2894,"1,2,3",5,4,5,4,4,4,5,4,5,2,5,4,"Save the Animals"
"gorilla","informative",53,2,3,4,1,457,"1,2,3,4",1,2,3,3,1,5,4,5,1,4,4,3,"dangerous"
"loris","informative",30,1,1,2,1,374,"1,2,3",4,5,4,4,5,5,5,4,4,5,4,4,"good"
"loris","no context",68,2,1,4,1,603,"1",1,2,4,3,1,1,1,1,4,5,5,4,"sad"
"loris","informative",22,2,4,4,1,240,"2",4,4,4,4,4,4,4,4,4,4,4,4,"its small animal very cute"
"gorilla","informative",32,1,1,5,1,166,"1,2,3,5",1,4,5,3,1,4,2,4,1,4,4,2,"Elegant"
"loris","informative",32,2,1,3,1,153,"1,2,3",1,3,4,4,2,4,5,5,2,5,4,5,"Cute"
"loris","informative",34,2,5,5,0,338,"1",5,4,5,5,4,4,4,4,5,4,5,4,"good "
"gorilla","no context",25,2,5,4,1,140,"1,2",5,4,5,5,4,4,5,5,5,5,4,4,"it looks like cute"
"loris","informative",27,2,1,4,1,754,"1,2,3",5,4,5,4,5,5,4,4,4,5,4,4,"Animals save"
"loris","informative",27,2,1,4,1,754,"1,2,3",5,4,5,4,5,5,4,4,4,5,4,4,"Animals save"
"loris","informative",27,2,1,4,1,754,"1,2,3",5,4,5,4,5,5,4,4,4,5,4,4,"Animals save"
"loris","informative",27,2,1,4,1,754,"1,2,3",5,4,5,4,5,5,4,4,4,5,4,4,"Animals save"
"loris","informative",55,1,1,4,1,446,"1,2,3",4,5,4,4,4,4,4,4,4,4,4,4,"nice"
"loris","informative",28,1,1,4,0,929,"1,2,3",5,4,4,5,5,4,4,4,4,4,4,4,"ALL ANIMALS WERE CAPTURED AND HANDLED"
"loris","no context",44,2,4,4,1,600,"1",4,5,5,5,4,5,4,4,4,5,5,5,"animal pics"
"loris","no context",71,1,1,4,1,476,"1,3",1,4,4,2,1,2,1,3,1,5,4,2,"mouse"
"loris","informative",52,1,1,4,1,206,"2",5,5,5,5,5,5,5,5,5,5,5,5,"PRIMATOLOGIST"
"loris","informative",36,2,3,3,1,561,"2",2,2,3,4,3,1,2,4,1,4,3,2,"HELPFUL"
"loris","no context",56,2,1,3,1,366,"1",2,3,4,2,1,4,2,4,1,5,2,2,"malnourished"
"gorilla","no context",25,1,1,4,1,272,"1,2,5",1,5,1,4,4,5,5,5,4,5,5,5,"nature"
"loris","informative",64,1,1,5,1,323,"1",1,2,3,3,1,2,2,4,1,5,4,2,"scrawny"
"loris","no context",34,1,1,4,1,399,"1,2,5",4,4,4,4,4,4,5,4,4,1,4,5,"nice post i like this post"
"gorilla","no context",30,1,4,4,1,131,"2",4,4,4,4,4,4,4,4,4,4,4,4,"good"
"loris","no context",36,2,5,3,1,250,"1,2",5,3,5,2,1,1,1,5,1,4,5,1,"Gross"
"loris","informative",22,1,1,4,1,244,"1,2,3",5,5,2,4,4,5,4,4,5,5,5,2,"sad"
"loris","no context",42,1,1,4,1,206,"1,2",4,5,4,5,5,4,5,5,5,5,4,5,"IT IS DREAM"
"gorilla","no context",23,1,1,4,1,358,"1,2,5",4,4,4,4,4,4,4,4,4,4,4,4,"danger money"
"loris","no context",30,2,1,4,1,269,"1,2,3,5",4,4,4,3,3,4,4,4,3,4,4,4,"cute animal"
"loris","informative",28,2,2,4,1,245,"1,2,3",5,5,4,5,4,5,5,4,5,4,4,4,"research"
"gorilla","no context",37,1,1,4,1,557,"2",4,4,4,4,4,4,4,4,4,4,4,4,"WILDLIFE"
"gorilla","informative",28,1,3,3,1,297,"2,3,5",5,3,2,3,1,5,5,4,1,5,5,4,"nature"
"gorilla","no context",37,2,1,4,1,371,"1,2,3",4,3,4,4,3,4,3,3,3,4,4,3,"MOUNTAIN GORIALLA "
"gorilla","no context",49,1,1,4,1,297,"1,2",4,5,5,5,5,4,5,5,5,5,4,5,"Mountain gorilla"
"gorilla","no context",33,2,1,5,1,186,"1",2,3,4,3,1,4,2,4,1,5,4,4,"Nature"
"gorilla","informative",54,1,5,4,1,409,"1",3,3,4,4,2,3,3,5,2,4,5,4,"Gorilla in the forest"
"gorilla","no context",30,2,1,2,1,250,"1,2,3",5,4,4,4,5,5,5,5,5,5,5,5,"nothing"
"gorilla","no context",30,2,1,2,1,250,"1,2,3",5,4,4,4,5,5,5,5,5,5,5,5,"nothing"
"gorilla","informative",35,2,1,4,1,277,"2",4,4,4,4,4,4,4,4,4,4,4,4,"ANIMAL ARE Disgusting"
"loris","informative",49,2,3,4,1,457,"1,2,3,4",1,1,4,4,1,1,1,4,1,4,1,1,"creepy"
"loris","informative",25,2,1,4,1,475,"2",5,4,4,3,4,4,5,5,5,5,5,5,"good"
"gorilla","informative",49,2,1,3,1,466,"1,5",3,3,4,4,1,4,4,4,1,5,4,3,"Curiousity"
"gorilla","no context",36,1,1,5,1,343,"1,3",4,1,4,3,1,5,2,5,1,5,3,3,"Gorilla"
"loris","no context",36,2,1,2,1,245,"2,3",2,4,3,4,3,3,3,3,2,5,4,3,"nothing"
"gorilla","no context",32,1,1,5,1,466,"1",5,4,4,4,5,5,4,4,5,5,4,5,"Wild Animal"
"gorilla","informative",31,1,1,4,1,900,"1,2",4,4,2,4,4,4,4,4,4,4,4,4,"Fear"
"gorilla","informative",66,2,4,5,1,468,"1,2,5",4,4,4,3,4,4,4,4,4,4,3,4,"Panda is beautifull"
"loris","informative",42,1,3,5,1,636,"1,2",3,4,4,4,3,3,3,3,3,3,4,3,"Cute"
"loris","no context",25,2,1,4,1,570,"1,2,5",4,5,2,5,4,5,4,4,4,4,4,4,"small monkey"
"loris","no context",35,2,1,3,1,285,"1,2,3,5",1,4,4,4,2,2,5,5,4,5,4,5,"adorable"
"gorilla","informative",31,2,4,4,1,456,"1,2",4,4,4,4,4,4,4,4,4,4,4,4,"POST ON INSTAGRAM"
"loris","no context",57,2,1,5,1,226,"1,2,3,5",1,4,3,3,1,1,2,4,1,5,5,3,"confusing"
"loris","no context",57,2,1,5,1,226,"1,2,3,5",1,4,3,3,1,1,2,4,1,5,5,3,"confusing"
"gorilla","no context",30,1,4,4,1,1036,"1,2,3",4,4,4,4,5,4,4,4,5,4,5,4,"kingkong movie"
"gorilla","no context",30,1,4,4,1,1036,"1,2,3",4,4,4,4,5,4,4,4,5,4,5,4,"kingkong movie"
"gorilla","informative",42,2,1,4,1,168,"1,2",5,3,4,5,1,5,3,3,2,5,4,5,"Gorilla"
"loris","informative",25,1,3,4,1,4654,"1,2,3,5",3,3,3,3,3,3,3,4,3,3,3,4,"cute"
"loris","no context",30,1,1,4,1,1404,"1,2,3",3,4,5,4,5,4,4,4,4,4,4,4,"when i see it was totally different animals"
"loris","no context",29,1,1,4,1,184,"1,2,3",4,4,4,4,4,4,4,4,4,4,4,4,"good"
"loris","no context",29,1,1,4,1,184,"1,2,3",4,4,4,4,4,4,4,4,4,4,4,4,"good"
"loris","informative",59,2,3,4,1,556,"1,2,3,5",1,2,4,3,3,1,2,2,2,4,2,2,"experiment"
"loris","informative",59,2,3,4,1,556,"1,2,3,5",1,2,4,3,3,1,2,2,2,4,2,2,"experiment"
"loris","no context",53,2,2,4,1,243,"1,2,3",4,5,5,4,4,4,5,5,5,5,4,4,"Wildlife"
"loris","informative",30,1,3,2,0,302,"1,2,3,4,5",5,5,5,5,5,5,4,5,5,5,5,4,"good"
"loris","informative",31,2,1,2,1,412,"1,2,3,5",1,2,2,2,3,2,2,2,1,4,3,2,"Wild"
"loris","informative",30,1,1,4,1,121,"2",4,4,4,4,4,4,4,4,4,5,4,4,"animal"
"loris","informative",62,1,1,5,1,1221,"1,2,3",5,4,4,5,5,5,4,5,4,5,5,5,"jessd"
"gorilla","no context",45,2,1,4,1,457,"1,2,3,4,5",5,5,5,5,1,1,5,5,5,5,5,5,"save animals"
"loris","no context",25,1,1,4,1,158,"1,2,3",4,4,4,4,4,4,4,4,4,4,4,4,"animal"
"gorilla","no context",31,2,2,4,1,501,"1",2,2,4,3,1,4,2,4,1,5,5,3,"raw"
"gorilla","informative",23,2,1,4,1,1283,"1,2,3,5",2,4,4,4,2,2,4,2,4,4,4,4,"Animals are protecting them"
"gorilla","no context",35,1,1,2,1,479,"1,2,3,5",5,5,4,5,1,4,4,5,4,5,5,5,"Cute"
"loris","no context",50,2,1,4,1,179,"1,2,3",4,4,2,4,4,5,4,5,5,4,5,4,"weak"
"gorilla","no context",30,1,1,4,1,188,"1,2,3,4,5",4,4,5,4,5,5,4,5,5,4,5,4,"good"
"loris","no context",34,1,4,4,1,323,"1,2,3",5,5,5,5,5,5,5,5,5,5,5,5,"Good"
"gorilla","informative",25,1,3,4,1,309,"1,3",5,4,5,5,4,5,4,5,5,5,4,4,"clam"
"gorilla","informative",32,1,1,4,1,360,"1,2,3,4,5",5,4,4,4,4,4,4,4,4,4,4,4,"LIKE"
"gorilla","informative",25,2,1,4,1,350,"1,2,3,4",5,4,5,4,4,4,2,4,4,4,4,4,"I love gorilla it is very attractive"
"gorilla","no context",56,2,1,2,1,291,"1,2,3",1,4,5,5,1,5,1,4,1,5,5,4,"interesting"
"loris","no context",69,2,1,4,1,300,"1,2,3",4,5,5,4,4,5,4,5,5,5,4,4,"when i see the different type of animal"
"gorilla","informative",47,1,1,4,1,182,"2",5,5,5,5,4,5,5,4,5,5,5,5,"GORILLA"
"gorilla","no context",27,2,1,4,1,265,"1,2,3,4,5",1,1,2,4,1,4,4,3,1,5,2,5,"Cute"
"gorilla","no context",35,2,1,4,1,316,"1,2",2,4,5,5,4,5,4,5,1,4,4,4,"amazing"
"gorilla","informative",38,1,1,4,1,285,"1,2,3",5,4,5,4,4,4,5,4,5,4,4,5,"MOUNTAIN GORILLA"
"loris","informative",37,2,1,4,1,757,"1,2",5,5,5,5,5,5,5,5,5,5,5,5,"animal love"
"loris","no context",40,1,1,4,1,686,"1,2,3",4,4,4,4,4,4,4,4,4,4,4,4,"FEEL HAPPY TO SEE THE "
"gorilla","no context",26,1,5,4,1,351,"1,2,3",2,2,4,3,1,5,2,3,1,4,2,3,"Gorilla"
"gorilla","informative",25,2,1,4,1,256,"1,2,3,4",4,4,4,4,4,4,4,4,4,4,4,4,"Gorilla"
"gorilla","no context",35,1,3,4,1,190,"1,2,3,4,5",5,5,4,5,4,4,5,4,2,2,5,5,"Characteristics of animals"
"loris","informative",50,2,1,2,1,285,"1",1,3,4,4,3,3,4,4,5,5,4,4,"cute"
"gorilla","informative",35,1,1,4,1,529,"1",4,4,4,4,4,4,4,4,4,4,4,4,"all animal's for absolver the   humaa"
"loris","no context",40,1,1,4,1,165,"2",5,5,5,5,5,5,5,5,5,5,5,5,"Andrea DiGiorgio"
"loris","informative",38,2,1,4,1,314,"1,5",1,4,4,3,1,4,4,5,1,5,2,5,"Eyes"
"loris","informative",38,2,1,5,1,258,"1,2",1,1,3,3,1,1,1,4,2,5,1,3,"Cute"
"loris","informative",64,2,1,3,1,415,"1,2,3",1,4,4,5,1,2,4,3,1,5,5,4,"Responsibility"
"gorilla","no context",30,1,1,5,1,401,"1,2,3,5",4,5,5,5,4,4,4,5,4,5,5,5,"Mountain gorilla"
"gorilla","informative",25,1,5,4,1,3181,"1,2",4,4,4,4,4,4,4,4,4,4,4,4,"safehandling"
"loris","informative",25,1,1,4,1,189,"3",4,5,4,5,4,4,4,4,5,4,4,5,"Torture"
"gorilla","informative",29,1,2,4,1,385,"1,2,3",5,4,5,5,4,4,4,4,4,5,5,5,"pet"
"loris","informative",36,1,1,4,1,423,"2",4,4,4,4,4,5,4,4,5,5,4,5,"protect animal species"
"gorilla","no context",25,2,5,4,1,704,"1,2,3",4,4,4,4,4,4,4,4,4,4,4,4,"Funny"
"loris","no context",38,1,1,3,1,181,"1,3",1,5,2,1,2,5,2,4,1,5,4,2,"odd"
"loris","no context",44,2,1,4,1,351,"1,2",4,5,5,4,5,5,4,4,4,4,4,4,"rohan gunatillake"
"gorilla","no context",36,1,1,3,1,393,"1,2,3,5",1,2,4,4,1,4,2,3,1,5,2,4,"Nature"
"gorilla","informative",29,1,1,4,1,754,"1,2,3",4,4,4,4,4,4,1,1,5,1,4,1,"threathening"
"gorilla","no context",27,2,1,4,1,306,"2",4,4,4,4,5,4,5,5,4,4,4,4,"crazy gorilla"
"loris","informative",34,2,1,5,1,679,"1,2,3,4,5",4,4,4,4,4,4,4,4,4,4,4,4,"SO GOOD"
"loris","informative",40,1,1,5,1,189,"1,2,3,4",5,4,4,4,5,5,5,4,5,5,4,4,"WILDLIFE"
"gorilla","no context",28,2,1,3,1,377,"1,2,3,5",2,2,4,5,2,1,2,4,1,4,4,4,"Nature "
"gorilla","informative",25,1,5,4,1,475,"1,2",5,4,4,4,4,4,5,4,5,5,4,4,"interesting"
"gorilla","informative",52,2,1,5,1,754,"6",1,3,4,4,1,4,2,4,1,5,4,3,"majestic"
"gorilla","informative",25,1,1,4,1,302,"1,2,3,4,5",5,5,5,5,5,5,5,5,5,5,5,5,"Research"
"gorilla","informative",27,2,2,4,1,758,"1,2,3",2,4,4,4,1,2,2,3,2,4,4,4,"Beauty "
"loris","informative",30,1,1,2,1,257,"1,2,4",5,5,4,4,5,4,4,4,4,4,4,5,"good"
"loris","no context",25,1,1,4,1,227,"1,2,3,4,5",5,5,5,5,5,5,5,5,5,5,5,5,"Research Subject"
"gorilla","informative",38,2,1,4,1,645,"1,2,3,5",5,4,4,4,5,4,5,4,4,5,4,5,"friendship"
"loris","no context",25,1,1,4,1,188,"1,2",4,4,4,4,4,4,2,4,2,4,5,4,"animals are living good"
"loris","no context",42,2,1,4,1,158,"1,2,3,5",1,2,2,3,2,5,2,1,1,4,2,5,"Cute"
"gorilla","no context",23,1,7,6,1,172,"2,3,5",2,2,3,3,1,4,4,3,1,3,3,3,"Indifferent"
"gorilla","informative",59,2,1,4,1,801,"1,2,3,5",5,4,4,4,5,3,3,4,4,2,1,4,"humanity"
"gorilla","informative",57,2,1,4,1,412,"2",5,5,5,5,4,4,4,4,4,4,5,4,"gorilla"
"gorilla","no context",25,2,1,4,1,158,"1,2,3",5,5,5,5,4,5,4,4,5,5,4,5,"Gorilla is a very helpful in person"
"gorilla","informative",25,1,1,4,1,290,"2,3",1,4,4,4,4,4,4,4,4,4,4,4,"TRAINED GORILLA"
"gorilla","no context",52,1,2,5,1,325,"1,3",2,4,4,2,1,4,1,4,1,4,2,2,"dangerous"
"loris","informative",39,2,1,2,1,296,"1,2,3,5",1,2,4,2,2,1,2,4,2,4,2,3,"Rare"
"gorilla","informative",35,1,3,4,1,520,"1,2,3,4,5",5,5,5,5,5,4,5,5,5,5,5,5,"yes"
"loris","no context",25,2,1,4,1,624,"1,2,3,4,5",4,4,5,5,2,4,4,3,2,5,4,4,"slender"
"loris","no context",25,1,5,4,1,284,"2,3",4,4,3,4,5,4,5,4,4,4,4,2,"wild life images"
"loris","no context",61,2,1,4,1,427,"1,2,3",1,4,2,2,2,1,2,4,2,4,5,2,"Creepy"
"loris","informative",25,2,1,5,1,563,"1,2,3,5",5,4,4,5,4,5,4,4,4,4,4,4,"all animals were capture and handle safely"
"loris","no context",25,2,1,4,1,208,"1,2,3,4,5",4,4,5,5,4,5,4,4,4,5,5,4,"I also want to make a good pet to maintain like this "
"gorilla","no context",56,1,1,4,1,779,"1,2,4",5,4,5,4,4,4,5,4,5,4,4,5,"Satisfaction"
"gorilla","no context",29,1,5,4,1,332,"1,2,3,4,5",5,5,5,5,4,5,5,4,5,5,5,5,"nice"
"loris","informative",40,1,1,4,1,423,"1,2,3,4,5,6",4,4,4,4,4,5,4,4,4,4,4,4,"dream job"
"loris","no context",30,1,1,5,1,286,"1,2",4,4,4,4,4,4,4,4,4,4,4,4,"animal"
"gorilla","informative",35,1,6,4,1,1412,"1,2,3",2,4,4,5,4,3,2,2,3,5,4,5,"I love animals Gorillas look like good animal "
"gorilla","informative",38,1,1,4,1,345,"2",5,4,4,4,5,5,4,3,4,4,4,4,"GOOD AND BEAUTIFUL AND ALL ANIMALS SAFE"
"loris","no context",25,2,1,4,1,853,"1,2,3,4,5",4,4,4,4,4,4,3,4,3,5,5,4,"slender"
"loris","no context",35,1,2,4,1,214,"1,2,3,5",5,4,4,5,5,5,4,4,4,5,5,5,"weird"
"gorilla","informative",31,1,1,4,1,349,"1,2",4,4,4,4,4,4,4,4,5,4,4,4,"Wlid life love"
"loris","no context",36,1,1,5,1,693,"1,2",4,4,3,4,3,4,4,3,4,5,4,4,"good habit animal"
"gorilla","informative",50,1,1,5,1,602,"1,2,3,5",3,4,4,5,4,4,4,5,5,5,5,5,"HE LOOKS VERY CONCERN ABOUT GORILLAS"
"gorilla","no context",35,2,2,3,1,1060,"2",3,4,3,5,3,1,4,3,1,4,4,4,"warily"
"loris","informative",59,1,2,4,1,339,"1,3",1,1,3,1,1,1,1,1,1,4,1,1,"creepy"
"loris","no context",39,2,1,4,1,193,"1,2,3",4,4,5,4,4,4,4,5,5,4,4,4,"Me with my research subject"
"gorilla","informative",30,1,1,4,1,236,"1,2",4,4,5,4,4,4,4,4,4,4,4,4,"Gorilla"
"gorilla","informative",27,2,1,4,1,796,"1,2,3",4,4,4,4,4,4,4,4,4,4,4,4,"In this post the man and the gorilla looking together"
"loris","informative",44,2,4,4,1,1022,"1,2,3,5",4,4,4,4,4,5,4,4,3,5,5,5,"save animals"
"gorilla","no context",32,1,1,4,1,188,"1,2,3",4,4,4,4,4,4,4,4,4,4,4,4,"Big"
"gorilla","no context",25,2,5,4,1,313,"1,2,3",4,4,4,4,4,4,4,4,4,4,4,4,"nice"
"gorilla","informative",47,2,1,4,1,321,"1,2",4,4,4,4,2,4,2,4,1,4,2,4,"Observing "
"gorilla","informative",56,2,1,4,1,1356,"1,2,3",4,4,2,5,3,4,4,4,2,5,5,4,"this animial was good habit animial"
"loris","informative",38,2,1,3,1,553,"1,2,3,5",2,3,2,3,2,4,3,5,2,4,3,3,"Sweet"
"gorilla","informative",35,1,1,4,1,366,"1,2,5",4,4,4,4,4,4,4,4,4,4,4,4,"Joyfulness"
"gorilla","no context",35,1,1,4,1,400,"2",4,4,4,4,4,5,4,4,2,5,4,4,"nature"
"loris","informative",30,1,1,4,1,115,"1,2,3",4,5,4,4,5,4,5,4,4,5,4,5,"animal"
"loris","no context",67,1,1,2,1,258,"1",1,4,4,4,1,1,4,4,1,4,4,4,"crazy eyes"
"gorilla","no context",31,2,6,4,1,1659,"1,2",4,5,4,4,4,4,3,4,2,4,4,5,"gorilla"
"gorilla","informative",34,2,1,4,1,235,"1,2",4,4,4,4,4,4,4,4,4,4,4,4,"the animals are very beautyful"
"loris","no context",30,1,1,4,1,1723,"2",4,5,4,4,4,5,2,4,5,5,5,5,"animals"
"gorilla","no context",37,2,1,4,1,373,"1,2,3",4,5,2,4,4,4,4,4,4,4,5,4,"Me with a mountain gorilla"
"loris","informative",29,2,1,4,1,588,"1,2,3",4,4,4,4,4,4,4,4,4,4,4,4,"GOOD"
"loris","informative",45,1,1,4,1,268,"1,2,3",3,2,4,5,4,4,4,4,4,4,5,4,"GOOD"
"loris","informative",27,2,4,4,1,421,"2",4,4,4,4,4,4,4,4,4,4,4,4,"small animal"
"gorilla","no context",27,1,3,2,1,259,"1,2,3",1,4,3,5,1,5,1,5,1,5,5,3,"Nature"
"loris","no context",42,2,1,4,1,183,"1,2",4,4,4,4,2,4,4,4,2,2,2,2,"happly"
"gorilla","informative",52,2,6,2,1,1278,"1,5",2,3,4,5,2,4,4,5,3,5,4,4,"Exciting"
"loris","informative",32,1,1,4,1,134,"2",4,4,2,4,4,3,4,3,4,3,4,3,"unusual"
"loris","no context",60,1,1,2,1,174,"1,2,3",5,4,4,4,4,4,4,2,3,4,4,4,"good"
