"Animal","Caption","Age","Gender","Ethnicity","Schooling","RecaptchaScore","Duration","Socials","Survey_01","Survey_02","Survey_03","Survey_04","Survey_05","Survey_06","Survey_07","Survey_08","Survey_09","Survey_10","Survey_11","Survey_12","One_word_comment"
"gorilla","informative",29,2,1,3,1,356,"1,5",1,3,4,3,1,4,2,4,1,5,4,3,"gorilla"
"gorilla","no context",30,1,1,4,1,184,"1,2,3,5",5,4,4,4,4,4,2,5,5,4,3,4,"good"
"loris","no context",48,2,1,5,0,224,"1",1,4,4,4,2,2,4,5,1,5,4,2,"Monkey"
"gorilla","no context",44,2,1,4,1,574,"1,2,3",4,4,4,4,2,4,2,4,3,4,4,4,"good"
"gorilla","no context",32,1,1,4,1,247,"1,2,3,5",4,4,5,3,1,4,5,3,1,5,4,5,"wild"
"loris","informative",30,1,1,4,1,145,"2",1,1,1,1,1,1,1,1,1,1,1,1,"animal"
"gorilla","informative",25,2,1,4,1,598,"1,2,3,4,5",5,5,1,1,5,5,5,1,5,5,5,5,"gorillas"
"loris","no context",66,2,1,3,1,712,"1,2,3",5,3,3,4,2,2,2,2,2,5,4,4,"scrawny"
"gorilla","no context",42,2,1,4,1,556,"1,2,5",2,4,2,5,2,2,5,4,4,4,4,4,"gorilla"
"loris","informative",42,1,1,4,1,745,"1,2,3",2,5,5,5,1,5,3,5,2,5,5,5,"Cute"
"loris","informative",28,1,1,4,1,1685,"1,2,3",4,5,4,4,4,4,4,5,5,4,4,4,"Research"
"gorilla","no context",58,1,4,4,1,408,"1,2,3",4,5,5,5,4,4,4,4,4,4,5,5,"None"
"loris","no context",19,1,5,2,1,1054,"2,5",4,4,3,3,4,3,4,4,4,5,4,2,"monkey"
"loris","informative",55,1,1,4,1,185,"1,3",1,3,3,3,2,2,2,5,4,4,4,4,"wildlife"
"gorilla","informative",30,2,1,2,1,221,"1,2,3,4,5",3,5,4,4,4,3,4,4,4,4,5,3,"mongey"
"loris","informative",30,1,4,4,1,181,"2",5,4,5,4,4,5,4,4,5,4,5,4,"good"
"gorilla","no context",25,2,1,4,1,252,"1,2,3,4,5",4,4,4,4,4,4,4,4,4,4,4,5,"CUTE"
"loris","informative",25,1,1,4,1,600,"1,2,3,4,5",5,5,5,5,5,5,5,5,5,5,5,5,"very shoke"
"loris","informative",45,1,1,4,1,695,"1,2",3,3,4,5,4,3,3,5,2,5,5,5,"save animals"
"gorilla","no context",25,2,1,4,1,1484,"1,2,3,5",4,4,4,4,4,4,4,4,4,4,4,4,"I think this post for create mindset to people for saving animals"
"gorilla","informative",30,2,1,4,1,302,"1",5,5,5,5,5,5,5,5,5,5,5,5,"super"
"gorilla","informative",36,1,1,4,1,1555,"1,2,3,4,5",5,4,4,5,4,5,4,5,5,5,5,5,"animals"
"gorilla","no context",25,2,1,4,1,193,"1,2,3,4,5",4,5,4,4,5,4,4,4,4,4,4,5,"Gorilla look very friendly "
"loris","no context",39,1,3,4,0,366,"1,2,3,4",5,4,5,5,5,4,5,4,5,5,5,5,"TEN"
"loris","informative",33,2,6,2,1,204,"1,5",1,3,3,4,3,4,2,5,2,5,2,4,"Cute"
"gorilla","no context",39,2,3,2,1,251,"1,2,5",1,4,5,3,1,2,1,5,1,5,5,5,"Beauty"
"loris","no context",40,1,2,2,1,148,"1,2,3,4",4,5,5,4,4,4,4,4,4,5,4,4,"Responsibility"
"gorilla","no context",27,1,1,4,1,777,"1,2,3",4,4,4,5,4,4,5,5,4,4,5,5,"Animals save"
"gorilla","no context",27,1,1,4,1,777,"1,2,3",4,4,4,5,4,4,5,5,4,4,5,5,"Animals save"
"gorilla","no context",27,1,1,4,1,777,"1,2,3",4,4,4,5,4,4,5,5,4,4,5,5,"Animals save"
"gorilla","no context",27,1,1,4,1,777,"1,2,3",4,4,4,5,4,4,5,5,4,4,5,5,"Animals save"
"gorilla","no context",27,1,1,4,1,777,"1,2,3",4,4,4,5,4,4,5,5,4,4,5,5,"Animals save"
"loris","no context",30,1,1,4,1,216,"2",4,5,4,5,4,5,4,5,5,4,4,4,"animal"
"loris","no context",50,1,7,4,1,222,"6",4,3,3,1,1,3,1,1,1,3,1,1,"indifference"
"gorilla","informative",32,2,4,5,1,228,"1,2,3",4,4,4,4,4,4,4,4,4,4,4,4,"mountain"
"loris","no context",53,2,1,4,1,580,"1,2,3,5",2,2,2,4,2,5,3,3,1,5,2,4,"cute"
"loris","informative",26,2,4,4,1,308,"2,3",4,4,4,4,4,4,4,4,4,4,4,4,"AMAZING"
"loris","informative",38,1,3,3,1,439,"1,2,3,5",2,2,3,3,2,2,3,4,1,5,2,4,"Exotic"
"loris","informative",59,2,1,5,1,786,"1,2,3",4,4,2,4,4,4,4,4,4,4,4,4,"Wild Animals"
"gorilla","no context",40,1,3,4,1,314,"1,2,3",4,4,4,4,4,5,4,4,4,4,4,4,"Very natural one"
"gorilla","no context",24,1,5,4,1,682,"2",4,4,4,4,4,4,4,4,5,4,4,5,"NICE"
"loris","no context",25,2,4,4,1,298,"1,2,3",1,1,1,4,4,3,4,4,4,1,4,1,"PETS"
"gorilla","informative",25,2,1,5,1,291,"1,2,3",5,4,4,4,4,4,5,5,4,4,4,4,"all animals are observed safely and humanly"
"gorilla","informative",62,2,1,2,1,648,"1,2,3",1,3,4,5,1,4,2,3,2,5,5,5,"free"
"gorilla","informative",46,2,1,4,1,388,"2",5,5,5,5,5,5,5,5,5,5,5,5,"GORILLA "
"loris","no context",27,2,1,2,1,229,"1,2,3,5",2,4,3,4,5,2,5,5,5,4,4,4,"Cute "
"gorilla","informative",39,1,1,4,1,799,"1,5",4,4,4,4,4,4,4,4,4,4,4,4,"THE WIDLIFE ARE SO PATIENT"
"gorilla","informative",28,1,1,5,1,283,"1,2,3,5",4,4,5,4,4,4,5,3,4,2,4,4,"nice look korilla"
"loris","informative",25,2,1,5,1,238,"1,2,3,5",5,5,4,4,4,4,5,4,4,4,4,4,"goods"
